iter	Passed	Remaining
405	7725	11303
406	7744	11283
407	7762	11262
408	7780	11242
409	7797	11220
410	7815	11200
411	7834	11180
412	7853	11162
413	7878	11151
414	7900	11136
415	7920	11119
416	7938	11098
417	7955	11077
418	7973	11055
419	8005	11055
420	8025	11036
421	8043	11017
422	8061	10996
423	8079	10976
424	8096	10954
425	8116	10936
426	8134	10915
427	8151	10894
428	8170	10874
429	8187	10852
430	8205	10832
431	8223	10812
432	8241	10791
433	8259	10771
434	8277	10751
435	8295	10730
436	8313	10710
437	8333	10693
438	8352	10673
439	8370	10653
440	8391	10637
441	8416	10625
442	8434	10605
443	8453	10586
444	8470	10564
445	8491	10548
446	8510	10528
447	8530	10511
448	8550	10492
449	8568	10472
450	8586	10452
451	8605	10432
452	8624	10413
453	8643	10394
454	8661	10374
455	8678	10353
456	8696	10333
457	8716	10315
458	8738	10299
459	8756	10279
460	8773	10258
461	8791	10237
462	8810	10218
463	8828	10198
464	8848	10180
465	8873	10167
466	8894	10151
467	8915	10134
468	8933	10114
469	8952	10095
470	8977	10083
471	8999	10067
472	9021	10051
473	9039	10031
474	9056	10009
475	9073	9988
476	9091	9967
477	9124	9964
478	9141	9943
479	9159	9922
480	9177	9902
481	9195	9882
482	9214	9863
483	9233	9843
484	9252	9824
485	9270	9805
486	9288	9784
487	9308	9766
488	9328	9748
489	9346	9727
490	9365	9708
491	9383	9688
492	9410	9677
493	9429	9658
494	9446	9637
495	9464	9616
496	9481	9595
497	9497	9574
498	9515	9553
499	9532	9532
500	9549	9511
501	9567	9490
502	9584	9469
503	9601	9449
504	9618	9427
505	9639	9411
506	9658	9392
507	9693	9388
508	9714	9371
509	9738	9357
510	9761	9340
511	9779	9320
512	9796	9299
513	9814	9279
514	9832	9259
515	9854	9243
516	9873	9224
517	9895	9207
518	9917	9191
519	9934	9170
520	9953	9151
521	9979	9138
522	9999	9120
523	10020	9102
524	10037	9081
525	10055	9061
526	10072	9040
527	10089	9019
528	10107	8999
529	10124	8978
530	10142	8958
531	10160	8938
532	10178	8917
533	10195	8897
534	10213	8877
535	10231	8857
536	10250	8838
537	10267	8817
538	10285	8796
539	10303	8777
540	10323	8758
541	10340	8738
542	10359	8718
543	10377	8698
544	10397	8680
545	10416	8661
546	10434	8641
547	10452	8621
548	10469	8600
549	10488	8581
550	10505	8560
551	10522	8540
552	10541	8520
553	10559	8500
554	10576	8480
555	10593	8459
556	10610	8439
557	10629	8420
558	10646	8399
559	10664	8379
560	10681	8358
561	10708	8345
562	10731	8329
563	10749	8310
564	10767	8290
565	10787	8271
566	10805	8251
567	10823	8231
568	10842	8212
569	10865	8196
570	10884	8177
571	10908	8162
572	10927	8143
573	10952	8128
574	10972	8110
575	10991	8090
576	11009	8070
577	11027	8051
578	11044	8030
579	11062	8010
580	11081	7991
581	11099	7971
582	11117	7951
583	11136	7932
584	11153	7912
585	11171	7892
586	11189	7872
587	11206	7852
588	11224	7832
589	11241	7811
590	11258	7791
591	11276	7771
592	11295	7752
593	11316	7734
594	11335	7715
595	11355	7697
596	11376	7679
597	11398	7662
598	11419	7644
599	11437	7624
600	11454	7604
601	11471	7583
602	11488	7563
603	11505	7543
604	11524	7524
605	11541	7503
606	11559	7484
607	11578	7464
608	11596	7445
609	11614	7425
610	11631	7405
611	11650	7386
612	11667	7366
613	11687	7347
614	11707	7328
615	11726	7310
616	11753	7295
617	11772	7276
618	11793	7258
619	11812	7240
620	11831	7220
621	11852	7202
622	11875	7186
623	11898	7169
624	11924	7154
625	11952	7140
626	11972	7122
627	11990	7102
628	12009	7083
629	12028	7064
630	12047	7045
631	12065	7025
632	12083	7005
633	12101	6985
634	12119	6966
635	12138	6946
636	12156	6927
637	12172	6906
638	12190	6886
639	12208	6867
640	12228	6848
641	12246	6829
642	12266	6810
643	12285	6791
644	12304	6772
645	12322	6752
646	12340	6732
647	12357	6712
648	12376	6693
649	12398	6675
650	12415	6656
651	12432	6635
652	12450	6616
653	12467	6596
654	12484	6575
655	12500	6555
656	12520	6536
657	12537	6516
658	12555	6496
659	12572	6476
660	12590	6457
661	12608	6437
662	12625	6417
663	12644	6398
664	12662	6378
665	12679	6358
666	12696	6338
667	12713	6318
668	12730	6298
669	12748	6278
670	12765	6258
671	12782	6238
672	12799	6219
673	12816	6199
674	12834	6179
675	12852	6160
676	12871	6140
677	12891	6122
678	12922	6109
679	12944	6091
680	12962	6071
681	12980	6052
682	12997	6032
683	13016	6013
684	13034	5994
685	13051	5974
686	13068	5954
687	13086	5934
688	13104	5914
689	13122	5895
690	13141	5876
691	13159	5857
692	13176	5837
693	13194	5817
694	13211	5797
695	13229	5778
696	13247	5758
697	13267	5740
698	13285	5720
699	13302	5700
700	13321	5682
701	13339	5662
702	13357	5643
703	13378	5625
704	13402	5607
705	13420	5588
706	13441	5570
707	13463	5552
708	13481	5533
709	13499	5514
710	13516	5494
711	13534	5474
712	13551	5454
713	13569	5435
714	13586	5415
715	13603	5395
716	13620	5376
717	13639	5356
718	13662	5339
719	13680	5320
720	13698	5300
721	13715	5280
722	13734	5262
723	13756	5244
724	13774	5224
725	13792	5205
726	13809	5185
727	13827	5166
728	13845	5147
729	13880	5133
730	13915	5120
731	13941	5104
732	13959	5084
733	13979	5066
734	13997	5046
735	14015	5027
736	14036	5008
737	14054	4989
738	14072	4970
739	14091	4950
740	14109	4931
741	14127	4912
742	14145	4892
743	14163	4873
744	14180	4853
745	14198	4834
746	14217	4815
747	14235	4795
748	14255	4777
749	14274	4758
750	14291	4738
751	14309	4719
752	14326	4699
753	14344	4680
754	14364	4661
755	14385	4642
756	14403	4623
757	14420	4604
758	14438	4584
759	14456	4565
760	14473	4545
761	14490	4525
762	14507	4506
763	14524	4486
764	14541	4467
765	14560	4447
766	14578	4428
767	14595	4409
768	14612	4389
769	14629	4369
770	14647	4350
771	14663	4330
772	14682	4311
773	14703	4293
774	14723	4274
775	14744	4256
776	14768	4238
777	14787	4219
778	14807	4200
779	14826	4181
780	14844	4162
781	14874	4146
782	14904	4130
783	14928	4112
784	14948	4094
785	14967	4075
786	14985	4055
787	15003	4036
788	15021	4017
789	15042	3998
790	15061	3979
791	15079	3960
792	15096	3940
793	15114	3921
794	15132	3901
795	15149	3882
796	15168	3863
797	15185	3843
798	15202	3824
799	15219	3804
800	15239	3786
801	15258	3767
802	15275	3747
803	15294	3728
804	15311	3709
805	15329	3689
806	15348	3670
807	15370	3652
808	15387	3632
809	15404	3613
810	15422	3594
811	15439	3574
812	15457	3555
813	15474	3536
814	15494	3517
815	15513	3498
816	15530	3478
817	15549	3459
818	15570	3441
819	15597	3423
820	15615	3404
821	15633	3385
822	15651	3366
823	15668	3346
824	15686	3327
825	15706	3308
826	15724	3289
827	15743	3270
828	15766	3252
829	15785	3233
830	15802	3213
831	15819	3194
832	15838	3175
833	15869	3158
834	15901	3142
835	15921	3123
836	15939	3104
837	15958	3085
838	15978	3066
839	15996	3047
840	16016	3028
841	16035	3008
842	16056	2990
843	16076	2971
844	16096	2952
845	16114	2933
846	16132	2914
847	16151	2895
848	16169	2875
849	16186	2856
850	16204	2837
851	16225	2818
852	16244	2799
853	16263	2780
854	16281	2761
855	16298	2741
856	16315	2722
857	16333	2703
858	16354	2684
859	16372	2665
860	16390	2646
861	16408	2626
862	16425	2607
863	16443	2588
864	16461	2569
865	16478	2549
866	16497	2530
867	16516	2511
868	16526	2491
869	16546	2472
870	16563	2453
871	16581	2433
872	16598	2414
873	16616	2395
874	16634	2376
875	16651	2357
876	16669	2337
877	16686	2318
878	16703	2299
879	16720	2280
880	16739	2261
881	16756	2241
882	16773	2222
883	16790	2203
884	16807	2184
885	16824	2164
886	16851	2146
887	16876	2128
888	16897	2109
889	16915	2090
890	16932	2071
891	16952	2052
892	16969	2033
893	16988	2014
894	17005	1995
895	17023	1975
896	17049	1957
897	17067	1938
898	17084	1919
899	17101	1900
900	17120	1881
901	17137	1861
902	17155	1842
903	17173	1823
904	17190	1804
905	17209	1785
906	17229	1766
907	17246	1747
908	17264	1728
909	17283	1709
910	17300	1690
911	17319	1671
912	17338	1652
913	17357	1633
914	17376	1614
915	17393	1595
916	17410	1575
917	17429	1556
918	17448	1537
919	17466	1518
920	17483	1499
921	17501	1480
922	17518	1461
923	17535	1442
924	17553	1423
925	17572	1404
926	17590	1385
927	17609	1366
928	17629	1347
929	17648	1328
930	17667	1309
931	17686	1290
932	17704	1271
933	17723	1252
934	17741	1233
935	17759	1214
936	17777	1195
937	17794	1176
938	17813	1157
939	17842	1138
940	17863	1120
941	17885	1101
942	17903	1082
943	17920	1063
944	17939	1044
945	17956	1025
946	17974	1005
947	17991	986
948	18008	967
